Exception 
         479298 function calls (455231 primitive calls) in 1.364 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.756    0.252    0.756    0.252 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        3    0.316    0.105    0.316    0.105 {method 'read' of '_ssl._SSLSocket' objects}
        3    0.090    0.030    0.091    0.030 {built-in method _socket.getaddrinfo}
      240    0.031    0.000    0.031    0.000 {method 'read' of '_io.BufferedReader' objects}
    27/25    0.013    0.000    0.013    0.001 {built-in method _imp.create_dynamic}
        1    0.012    0.012    0.012    0.012 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 4578/233    0.009    0.000    0.029    0.000 _parser.py:512(_parse)
      240    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
 5116/195    0.007    0.000    0.015    0.000 _compiler.py:37(_compile)
  773/766    0.005    0.000    0.029    0.000 {built-in method builtins.__build_class__}
      240    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
    65426    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
58631/52799    0.003    0.000    0.004    0.000 {built-in method builtins.len}
    337/1    0.003    0.000    1.364    1.364 {built-in method builtins.exec}
    26298    0.003    0.000    0.005    0.000 _parser.py:168(__getitem__)
 5072/385    0.003    0.000    0.004    0.000 _parser.py:178(getwidth)
42370/42312    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
 1136/195    0.002    0.000    0.029    0.000 _parser.py:452(_parse_sub)
      693    0.002    0.000    0.004    0.000 _compiler.py:243(_optimize_charset)
        1    0.002    0.002    0.002    0.002 {built-in method _scproxy._get_proxies}
     1237    0.002    0.000    0.002    0.000 {built-in method posix.stat}
1163/1038    0.002    0.000    0.003    0.000 {built-in method __new__ of type object at 0x101aaca50}
    12897    0.002    0.000    0.003    0.000 _parser.py:261(get)
    20601    0.002    0.000    0.002    0.000 _parser.py:240(__next)
      582    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.002    0.002    0.021    0.021 dammit.py:128(_populate_class_variables)
      240    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     3072    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        3    0.001    0.000    0.001    0.000 {method 'connect' of '_socket.socket' objects}
    13576    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     3734    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
    10626    0.001    0.000    0.002    0.000 _parser.py:256(match)
      496    0.001    0.000    0.001    0.000 css_types.py:41(__init__)
    11340    0.001    0.000    0.001    0.000 _parser.py:164(__len__)
       27    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
      283    0.001    0.000    0.051    0.000 __init__.py:280(_compile)
