Exception 
         477663 function calls (453212 primitive calls) in 6.674 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
        3    0.729    0.243    0.729    0.243 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        4    0.352    0.088    0.352    0.088 {method 'read' of '_ssl._SSLSocket' objects}
    25/22    0.182    0.007    0.183    0.008 {built-in method _imp.create_dynamic}
        3    0.130    0.043    0.130    0.043 {built-in method _socket.getaddrinfo}
        3    0.071    0.024    0.071    0.024 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      169    0.024    0.000    0.024    0.000 {method 'read' of '_io.BufferedReader' objects}
        7    0.012    0.002    0.012    0.002 {built-in method _scproxy._get_proxy_settings}
 4759/200    0.012    0.000    0.034    0.000 _parser.py:512(_parse)
 5523/192    0.008    0.000    0.018    0.000 _compiler.py:37(_compile)
      165    0.008    0.000    0.008    0.000 {built-in method marshal.loads}
  931/901    0.006    0.000    0.007    0.000 {built-in method __new__ of type object at 0x103adca50}
      165    0.005    0.000    0.005    0.000 {built-in method _io.open_code}
  545/540    0.004    0.000    0.027    0.000 {built-in method builtins.__build_class__}
    69921    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
62739/56403    0.004    0.000    0.004    0.000 {built-in method builtins.len}
    29620    0.004    0.000    0.005    0.000 _parser.py:168(__getitem__)
      965    0.003    0.000    0.003    0.000 {built-in method posix.stat}
        1    0.003    0.003    6.674    6.674 financial.py:1(<module>)
      902    0.003    0.000    0.005    0.000 _compiler.py:243(_optimize_charset)
 1271/192    0.003    0.000    0.035    0.000 _parser.py:452(_parse_sub)
40217/40203    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
 5470/373    0.003    0.000    0.004    0.000 _parser.py:178(getwidth)
    16697    0.002    0.000    0.004    0.000 _parser.py:261(get)
    25513    0.002    0.000    0.002    0.000 _parser.py:240(__next)
        1    0.002    0.002    0.020    0.020 dammit.py:128(_populate_class_variables)
     3613    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
      490    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     7467    0.001    0.000    0.002    0.000 _parser.py:176(append)
    13233    0.001    0.000    0.002    0.000 _parser.py:256(match)
        3    0.001    0.000    0.001    0.000 {method 'connect' of '_socket.socket' objects}
    14513    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      165    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
    12578    0.001    0.000    0.002    0.000 _parser.py:164(__len__)
       93    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       25    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
     2536    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      496    0.001    0.000    0.001    0.000 css_types.py:41(__init__)
      263    0.001    0.000    0.060    0.000 __init__.py:280(_compile)
       87    0.001    0.000    0.006    0.000 parser.py:301(parse_starttag)
      123    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
       16    0.001    0.000    0.002    0.000 enum.py:1708(convert_class)
      405    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
     6566    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
     4890    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     4309    0.001    0.000    0.001    0.000 _parser.py:293(tell)
      268    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
     1828    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
   169/57    0.001    0.000    0.001    0.000 cookiejar.py:1227(deepvalues)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
3306/3238    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        2    0.001    0.000    0.009    0.005 parser.py:134(goahead)
     9522    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      218    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     3708    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        4    0.001    0.000    0.001    0.000 {built-in method _scproxy._get_proxies}
       53    0.001    0.000    0.001    0.000 <frozen abc>:105(__new__)
      165    0.001    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     3038    0.000    0.000    0.001    0.000 {built-in method builtins.getattr}
    221/3    0.000    0.000    0.328    0.109 <frozen importlib._bootstrap>:1349(_find_and_load)
     5508    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      902    0.000    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     6196    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
      262    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
       17    0.000    0.000    0.001    0.000 __init__.py:355(namedtuple)
      126    0.000    0.000    0.001    0.000 parse.py:374(urlparse)
     4247    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      175    0.000    0.000    0.002    0.000 __init__.py:829(endData)
      330    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      341    0.000    0.000    0.002    0.000 css_parser.py:1108(selector_iter)
    167/1    0.000    0.000    6.674    6.674 {built-in method builtins.exec}
      192    0.000    0.000    0.004    0.000 _compiler.py:511(_compile_info)
       20    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      336    0.000    0.000    0.000    0.000 element.py:377(setup)
        2    0.000    0.000    0.000    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     1058    0.000    0.000    0.001    0.000 _parser.py:312(_class_escape)
     3379    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      311    0.000    0.000    0.001    0.000 typing.py:175(_type_check)
     1488    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
    220/3    0.000    0.000    0.328    0.109 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      215    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      193    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       11    0.000    0.000    0.001    0.000 url.py:227(_encode_invalid_chars)
       87    0.000    0.000    0.002    0.000 __init__.py:990(handle_starttag)
       64    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      192    0.000    0.000    0.058    0.000 _compiler.py:740(compile)
      944    0.000    0.000    0.001    0.000 _parser.py:449(_uniq)
      110    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
      384    0.000    0.000    0.001    0.000 enum.py:1562(__and__)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      873    0.000    0.000    0.001    0.000 typing.py:1188(__setattr__)
       11    0.000    0.000    0.001    0.000 request.py:2505(getproxies_environment)
      124    0.000    0.000    0.001    0.000 element.py:1292(__new__)
       88    0.000    0.000    0.001    0.000 element.py:1627(__init__)
        3    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
     1364    0.000    0.000    0.001    0.000 _parser.py:172(__setitem__)
     1754    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
    56/16    0.000    0.000    0.006    0.000 css_parser.py:925(parse_selectors)
       87    0.000    0.000    0.000    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
        3    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      804    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
     3823    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
     1265    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
     2671    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
    193/3    0.000    0.000    0.327    0.109 <frozen importlib._bootstrap>:911(_load_unlocked)
    71/40    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       21    0.000    0.000    0.744    0.035 __init__.py:1(<module>)
      413    0.000    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
  495/470    0.000    0.000    0.003    0.000 typing.py:392(inner)
     1007    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
       10    0.000    0.000    0.002    0.000 enum.py:919(_convert_)
      942    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       87    0.000    0.000    0.003    0.000 _htmlparser.py:142(handle_starttag)
      535    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      165    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      192    0.000    0.000    0.035    0.000 _parser.py:969(parse)
     1543    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      137    0.000    0.000    0.001    0.000 typing.py:1242(__init__)
        3    0.000    0.000    0.002    0.001 connection.py:418(request)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
        2    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       30    0.000    0.000    0.000    0.000 client.py:1292(putheader)
        3    0.000    0.000    0.356    0.119 connection.py:534(getresponse)
     1007    0.000    0.000    0.000    0.000 {built-in method fromkeys}
    462/6    0.000    0.000    0.325    0.054 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
