Exception 
         477470 function calls (453051 primitive calls) in 1.409 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.641    0.214    0.641    0.214 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        4    0.417    0.104    0.417    0.104 {method 'read' of '_ssl._SSLSocket' objects}
        3    0.101    0.034    0.101    0.034 {built-in method _socket.getaddrinfo}
        3    0.058    0.019    0.058    0.019 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    25/22    0.030    0.001    0.030    0.001 {built-in method _imp.create_dynamic}
      169    0.023    0.000    0.023    0.000 {method 'read' of '_io.BufferedReader' objects}
 4759/200    0.011    0.000    0.032    0.000 _parser.py:512(_parse)
 5523/192    0.007    0.000    0.017    0.000 _compiler.py:37(_compile)
      165    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
  931/901    0.004    0.000    0.008    0.000 {built-in method __new__ of type object at 0x102440a50}
    69889    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
  545/540    0.004    0.000    0.029    0.000 {built-in method builtins.__build_class__}
        4    0.003    0.001    0.003    0.001 {built-in method _ssl.txt2obj}
62675/56371    0.003    0.000    0.004    0.000 {built-in method builtins.len}
    29588    0.003    0.000    0.005    0.000 _parser.py:168(__getitem__)
      165    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
        7    0.003    0.000    0.003    0.000 {built-in method _scproxy._get_proxy_settings}
      902    0.003    0.000    0.004    0.000 _compiler.py:243(_optimize_charset)
 1271/192    0.003    0.000    0.032    0.000 _parser.py:452(_parse_sub)
 5470/373    0.002    0.000    0.004    0.000 _parser.py:178(getwidth)
    16697    0.002    0.000    0.004    0.000 _parser.py:261(get)
40185/40171    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
    25513    0.002    0.000    0.002    0.000 _parser.py:240(__next)
        1    0.002    0.002    0.021    0.021 dammit.py:128(_populate_class_variables)
      965    0.002    0.000    0.002    0.000 {built-in method posix.stat}
       25    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
      490    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     7467    0.001    0.000    0.002    0.000 _parser.py:176(append)
    13233    0.001    0.000    0.002    0.000 _parser.py:256(match)
       20    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
    14513    0.001    0.000    0.001    0.000 {built-in method builtins.min}
    12546    0.001    0.000    0.002    0.000 _parser.py:164(__len__)
      165    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.001    0.001    1.409    1.409 financial.py:1(<module>)
     3613    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      496    0.001    0.000    0.001    0.000 css_types.py:41(__init__)
        3    0.001    0.000    0.001    0.000 {method 'connect' of '_socket.socket' objects}
     2536    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      263    0.001    0.000    0.056    0.000 __init__.py:280(_compile)
       93    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
      123    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
       16    0.001    0.000    0.002    0.000 enum.py:1708(convert_class)
     6566    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     4309    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     4890    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     9522    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      405    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
3306/3238    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
      218    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      268    0.000    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
     3708    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      165    0.000    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
       53    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
    221/3    0.000    0.000    0.169    0.056 <frozen importlib._bootstrap>:1349(_find_and_load)
     6196    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
       17    0.000    0.000    0.001    0.000 __init__.py:355(namedtuple)
      902    0.000    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     4247    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      341    0.000    0.000    0.002    0.000 css_parser.py:1108(selector_iter)
     5508    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
    167/1    0.000    0.000    1.409    1.409 {built-in method builtins.exec}
      192    0.000    0.000    0.004    0.000 _compiler.py:511(_compile_info)
      330    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     1058    0.000    0.000    0.001    0.000 _parser.py:312(_class_escape)
     3038    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      311    0.000    0.000    0.001    0.000 typing.py:175(_type_check)
     3379    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       64    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       87    0.000    0.000    0.002    0.000 parser.py:301(parse_starttag)
    220/3    0.000    0.000    0.169    0.056 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     1488    0.000    0.000    0.000    0.000 enum.py:1544(_get_value)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      215    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      192    0.000    0.000    0.054    0.000 _compiler.py:740(compile)
   169/57    0.000    0.000    0.000    0.000 cookiejar.py:1227(deepvalues)
      384    0.000    0.000    0.001    0.000 enum.py:1562(__and__)
     3823    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      944    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
    56/16    0.000    0.000    0.006    0.000 css_parser.py:925(parse_selectors)
      873    0.000    0.000    0.001    0.000 typing.py:1188(__setattr__)
        4    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
     1364    0.000    0.000    0.001    0.000 _parser.py:172(__setitem__)
      804    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
       21    0.000    0.000    0.403    0.019 __init__.py:1(<module>)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
    193/3    0.000    0.000    0.168    0.056 <frozen importlib._bootstrap>:911(_load_unlocked)
     2671    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       10    0.000    0.000    0.002    0.000 enum.py:919(_convert_)
        2    0.000    0.000    0.003    0.002 parser.py:134(goahead)
     1828    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      165    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     1754    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      137    0.000    0.000    0.001    0.000 typing.py:1242(__init__)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
     1007    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      192    0.000    0.000    0.033    0.000 _parser.py:969(parse)
      126    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
     1543    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       79    0.000    0.000    0.002    0.000 css_parser.py:472(parse_attribute_selector)
      951    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
     1217    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       11    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
        3    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
