CarNumber,Make,Model,Refund,Fines,Year
Y351O8197RUS,Ford,Focus,1,500.0,2013
H917TC36RUS,Ford,Focus,2,8500.0,2000
C589EY154RUS,Ford,Focus,1,7500.0,2000
K846YE77RUS,Volkswagen,Passat,2,2100.0,1982
X4108H125RUS,Ford,Focus,2,1500.0,1994
K2807K154RUS,Ford,Focus,1,1500.0,1995
T395KX197RUS,Ford,Focus,2,900.0,1981
7065C8197RUS,Volkswagen,Passat,1,2600.0,2002
Y275O8197RUS,Ford,Focus,1,800.0,1983
9469EX178RUS,Ford,Focus,1,3000.0,1980
K040CC197RUS,Ford,Focus,2,1300.0,2012
M0269X197RUS,Ford,Focus,2,200.0,2003
T6129O50RUS,Ford,Focus,2,8594.5864661654,2004
T6329O50RUS,Ford,Focus,1,6000.0,2018
7827C8197RUS,Ford,Focus,1,1500.0,1984
8611T8154RUS,Ford,Focus,1,7600.0,1985
7831C8197RUS,Ford,Focus,2,41700.0,2010
K329T8197RUS,Skoda,Octavia,2,19800.0,2001
X015HY197RUS,Toyota,Corolla,1,800.0,1985
M580CH197RUS,Ford,Focus,2,8000.0,1980
O68897197RUS,Ford,Focus,2,19800.0,1986
7066C8197RUS,Volkswagen,Passat,1,37800.0,1993
T914CT197RUS,Toyota,Camry,2,1300.0,2006
O421OT161RUS,Skoda,Octavia,1,1900.0,2017
T242H8197RUS,Skoda,Octavia,2,2000.0,1994
92828M178RUS,Ford,Focus,1,10700.0,1989
K559KC161RUS,Ford,Focus,1,7000.0,2000
Y7709C197RUS,Ford,Focus,1,100.0,1982
K558KC161RUS,Ford,Focus,1,1000.0,1995
83218C154RUS,Ford,Focus,1,9600.0,1997
7147OE161RUS,Ford,Focus,1,800.0,2017
8166XX154RUS,Ford,Focus,1,7600.0,1990
M0269X197RUS,Ford,Focus,2,1000.0,1995
C589EY154RUS,Ford,Focus,1,12700.0,1989
8436XX154RUS,Ford,Focus,1,8594.5864661654,1982
9468EX178RUS,Ford,Focus,1,8600.0,2016
H004MH197RUS,Ford,Focus,2,55500.0,1983
Y7449Y50RUS,Ford,Focus,1,500.0,2004
9589EY178RUS,Ford,Focus,1,5000.0,1995
92928M178RUS,Ford,Focus,1,18400.0,2004
T476KX197RUS,Ford,Focus,1,2500.0,2007
92918M178RUS,Ford,Focus,1,8594.5864661654,2001
Y973O8197RUS,Ford,Focus,1,2100.0,2001
E53277152RUS,Ford,Focus,1,43600.0,1989
T6319O50RUS,Ford,Focus,2,3200.0,1985
M581CH197RUS,Ford,Focus,1,600.0,2002
Y358O8197RUS,Ford,Focus,1,9000.0,2009
O058M7161RUS,Ford,Focus,1,1000.0,2009
X023HY197RUS,Volvo,,2,10900.0,1992
8166XX154RUS,Ford,Focus,1,12800.0,1990
7199MT197RUS,Volkswagen,Golf,1,2600.0,1982
7827C8197RUS,Ford,Focus,1,3200.0,1984
O02597197RUS,Ford,Focus,1,47500.0,2014
X757HY197RUS,Ford,Focus,2,8500.0,2005
9498KX178RUS,Ford,Focus,2,2000.0,1986
Y4298M777RUS,Skoda,Octavia,2,8500.0,2015
Y351O8197RUS,Ford,Focus,1,15300.0,2010
Y7129Y50RUS,Ford,Focus,2,7000.0,1993
Y354O8197RUS,Ford,Focus,1,3900.0,2017
M581CH197RUS,Ford,Focus,1,3900.0,1991
E40577152RUS,Ford,Focus,1,8594.5864661654,2003
H387TM197RUS,Volkswagen,Passat,1,500.0,1987
Y7719C197RUS,Ford,Focus,1,1000.0,2009
K330T8197RUS,Skoda,Octavia,2,3000.0,1986
X286TC36RUS,Ford,Focus,1,10200.0,2005
Y156E877RUS,Ford,Focus,2,20600.0,2017
O752MX161RUS,Ford,Focus,2,600.0,2004
T017OX197RUS,Toyota,Corolla,2,6000.0,1998
T940CC96RUS,Ford,Focus,1,9500.0,1987
O481OH77RUS,Toyota,Camry,2,6000.0,2011
99209X178RUS,Skoda,Octavia,1,10600.0,2009
Y6829Y50RUS,Ford,Focus,1,1500.0,1985
E5878M777RUS,Skoda,Octavia,1,9000.0,2013
E40877152RUS,Ford,Focus,1,16000.0,1985
C313MM99RUS,Toyota,Camry,1,2000.0,2014
H234YH197RUS,Ford,Focus,2,19800.0,2014
T171CC96RUS,Ford,Focus,1,6300.0,1988
84438C154RUS,Ford,Focus,2,94000.0,2016
C58078163RUS,Ford,Focus,1,300.0,1989
X255HE161RUS,Ford,Focus,1,10100.0,2013
T399KX197RUS,Ford,Focus,2,7600.0,1998
92928M178RUS,Ford,Focus,2,2000.0,1992
Y7709C197RUS,Ford,Focus,1,1500.0,1988
M580CH197RUS,Ford,Focus,2,4000.0,2007
Y7719C197RUS,Ford,Focus,2,17000.0,1988
H889YK197RUS,Ford,Focus,2,19800.0,1989
M701T9152RUS,Ford,Focus,2,800.0,2011
8605T8154RUS,Ford,Focus,1,500.0,1985
E432XX77RUS,Toyota,Camry,1,1000.0,2000
9942KK197RUS,Ford,Focus,2,2000.0,2010
X015HY197RUS,Toyota,Corolla,2,9000.0,2018
Y780EE197RUS,Volkswagen,Golf,1,4500.0,1984
8436XX154RUS,Ford,Focus,1,1500.0,2017
H219X836RUS,Ford,Focus,1,500.0,2013
Y273O8197RUS,Ford,Focus,2,1200.0,2013
94178K154RUS,Ford,Focus,1,1900.0,1989
E811HE77RUS,Ford,Focus,2,16000.0,2009
Y354O8197RUS,Ford,Focus,1,12000.0,2010
Y353O8197RUS,Ford,Focus,2,4000.0,1990
M701T9152RUS,Ford,Focus,2,2000.0,2004
Y650E8750RUS,Skoda,Octavia,1,9500.0,1990
Y351O8197RUS,Ford,Focus,1,6300.0,2001
X015HY197RUS,Toyota,Corolla,2,500.0,2007
X786CO96RUS,Ford,Focus,1,900.0,2017
Y388E877RUS,Ford,Focus,2,4300.0,2005
T6439O50RUS,Ford,Focus,2,8594.5864661654,2002
E0697X152RUS,Skoda,Octavia,1,24000.0,2016
C515X938RUS,Ford,Focus,1,7000.0,2009
Y7689C197RUS,Ford,Focus,1,6800.0,2013
Y966O8197RUS,Ford,Focus,2,3800.0,2001
O39897197RUS,Ford,Focus,2,1600.0,1997
Y7699C197RUS,Ford,Focus,2,1600.0,2015
M589CH197RUS,Volkswagen,,2,10200.0,2002
O085E8197RUS,Volkswagen,Golf,1,29700.0,1994
